id,news_website_homepage,extracted_keywords,internal_urls,manual_topic_label
21,https://www.hindustantimes.com/,"live-scorecard, scorecard",https://www.hindustantimes.com/live-scorecard/,Sports
21,https://www.hindustantimes.com/,tennis,https://www.hindustantimes.com/tennis/,Sports
21,https://www.hindustantimes.com/,other-sport,https://www.hindustantimes.com/other-sports/,Sports
21,https://www.hindustantimes.com/,cricket,https://www.hindustantimes.com/cricket/schedule/,Sports
21,https://www.hindustantimes.com/,cities,https://www.hindustantimes.com/cities/,Local
21,https://www.hindustantimes.com/,gurugram,https://www.hindustantimes.com/gurugram/,Local
21,https://www.hindustantimes.com/,mumbai,https://www.hindustantimes.com/mumbai-news/,Local
21,https://www.hindustantimes.com/,"delhi, delhi-news",https://www.hindustantimes.com/delhi-news/,Regional
21,https://www.hindustantimes.com/,noida,https://www.hindustantimes.com/noida/,Local
21,https://www.hindustantimes.com/,pune,https://www.hindustantimes.com/pune-news/,Local
21,https://www.hindustantimes.com/,bengaluru,https://www.hindustantimes.com/bengaluru/,Local
21,https://www.hindustantimes.com/,ranchi,https://www.hindustantimes.com/ranchi/,Local
21,https://www.hindustantimes.com/,patna,https://www.hindustantimes.com/patna/,Local
21,https://www.hindustantimes.com/,lucknow,https://www.hindustantimes.com/lucknow/,Local
21,https://www.hindustantimes.com/,kolkata,https://www.hindustantimes.com/kolkata/,Local
21,https://www.hindustantimes.com/,jaipur,https://www.hindustantimes.com/jaipur/,Local
21,https://www.hindustantimes.com/,chandigarh,https://www.hindustantimes.com/chandigarh/,Local
21,https://www.hindustantimes.com/,dehradun,https://www.hindustantimes.com/dehradun/,Local
21,https://www.hindustantimes.com/,indore,https://www.hindustantimes.com/indore/,Local
21,https://www.hindustantimes.com/,punjab,https://www.hindustantimes.com/punjab/,Regional
21,https://www.hindustantimes.com/,world-news,https://www.hindustantimes.com/world-news/,International
22,https://www.timesnownews.com/,astrology,https://www.timesnownews.com/astrology,"Art, Culture and Society"
22,https://www.timesnownews.com/,auto,https://www.timesnownews.com/auto,Science and Technology
22,https://www.timesnownews.com/,car-news,https://www.timesnownews.com/auto/car-news,Science and Technology
22,https://www.timesnownews.com/,car-review,https://www.timesnownews.com/auto/car-reviews,Science and Technology
22,https://www.timesnownews.com/,"compare-car, compare-cars",https://www.timesnownews.com/auto/compare-cars,Science and Technology
22,https://www.timesnownews.com/,"bike, bike-news",https://www.timesnownews.com/auto/bike-news,Science and Technology
22,https://www.timesnownews.com/,"bike-review, bike-reviews",https://www.timesnownews.com/auto/bike-reviews,Science and Technology
22,https://www.timesnownews.com/,"compare-bike, compare-bikes",https://www.timesnownews.com/auto/compare-bikes,Science and Technology
22,https://www.timesnownews.com/,auto,https://www.timesnownews.com/auto/features,Science and Technology
22,https://www.timesnownews.com/,"business, economy, business-economy",https://www.timesnownews.com/business-economy,"Business, Economics and Finance"
22,https://www.timesnownews.com/,"budget, tax, tax-calculator",https://www.timesnownews.com/business-economy/budget/tax-calculator,"Business, Economics and Finance"
22,https://www.timesnownews.com/,"business, economy, business-economy",https://www.timesnownews.com/business-economy/economy,"Business, Economics and Finance"
22,https://www.timesnownews.com/,"market, markets",https://www.timesnownews.com/business-economy/markets,"Business, Economics and Finance"
22,https://www.timesnownews.com/,companies,https://www.timesnownews.com/business-economy/companies,"Business, Economics and Finance"
22,https://www.timesnownews.com/,industry,https://www.timesnownews.com/business-economy/industry,"Business, Economics and Finance"
22,https://www.timesnownews.com/,"finance, personal-finance",https://www.timesnownews.com/business-economy/personal-finance,"Business, Economics and Finance"
22,https://www.timesnownews.com/,tax,https://www.timesnownews.com/business-economy/personal-finance/tax,"Business, Economics and Finance"
22,https://www.timesnownews.com/,insurance,https://www.timesnownews.com/business-economy/personal-finance/insurance,"Business, Economics and Finance"
22,https://www.timesnownews.com/,planning-investing,https://www.timesnownews.com/business-economy/personal-finance/planning-investing,"Business, Economics and Finance"
22,https://www.timesnownews.com/,real-estate,https://www.timesnownews.com/business-economy/real-estate,"Business, Economics and Finance"
22,https://www.timesnownews.com/,rise-with-india,https://www.timesnownews.com/business-economy/rise-with-india,Other
22,https://www.timesnownews.com/,"business, economy, business-economy",https://www.timesnownews.com/business-economy/world-news,"Business, Economics and Finance"
22,https://www.timesnownews.com/,inspiration-inc,https://www.timesnownews.com/inspiration-inc,"Art, Culture and Society"
22,https://www.timesnownews.com/,coronavirus,https://www.timesnownews.com/coronavirus,Coronavirus
22,https://www.timesnownews.com/,education,https://www.timesnownews.com/education,Education and Career
22,https://www.timesnownews.com/,times-facts,https://www.timesnownews.com/times-facts,Other
22,https://www.timesnownews.com/,health,https://www.timesnownews.com/health,Health and Lifestyle
22,https://www.timesnownews.com/,"latest, latest-news",https://www.timesnownews.com/latest-news,Other
22,https://www.timesnownews.com/,"buzz, the-buzz",https://www.timesnownews.com/the-buzz,Entertainment
22,https://www.timesnownews.com/,"todays-headline, headline",https://www.timesnownews.com/todays-headlines,Other
22,https://www.timesnownews.com/,"trending-news, trending",https://www.timesnownews.com/trending-news,Other
22,https://www.timesnownews.com/,exclusive,https://www.timesnownews.com/exclusive,Other
22,https://www.timesnownews.com/,newshour,https://www.timesnownews.com/the-newshour,Other
22,https://www.timesnownews.com/,live-tv,https://www.timesnownews.com/live-tv,Multimedia
22,https://www.timesnownews.com/,livetv,https://www.timesnownews.com/livetv/timesnow/video,Multimedia
22,https://www.timesnownews.com/,live-tv,https://www.timesnownews.com/live-tv/et-now,Multimedia
22,https://www.timesnownews.com/,live-tv,https://www.timesnownews.com/live-tv/mirror-now,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos,Multimedia
22,https://www.timesnownews.com/,"photo, photos",https://www.timesnownews.com/photos,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/show/brand-equity/44,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/podcasts,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now/companies,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now/financial-reports,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now/markets,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now/news,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/et-now/shows,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/health,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/health/fitness,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/health/fitness-weight-loss,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/health/fitness-yoga,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/beauty-diy,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/fashion-hacks,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/horoscope,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/mens-fashion,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/womens-fashion,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/lifestyle/shows,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/crime,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/politics,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/shows,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/society,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/urban-debate,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/mirror-now/specials,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie,Multimedia
22,https://www.timesnownews.com/,"video, videos",https://www.timesnownews.com/videos/foodie/baking-recipes,Multimedia
